Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
VIS;202506051750;21.20;0.00;0.00;53.00;47.30;9.50;298.00;2.20;4.30;940.40;-;1015.20;1508.10;-;-;-;-;-;-;-
WFJ;202506051750;-;0.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
WYN;202506051750;19.30;0.00;0.00;94.00;67.30;13.10;211.00;4.00;9.40;964.80;1013.30;1014.70;-;-;-;-;-;-;-;-
WAE;202506051750;17.60;0.00;0.00;140.00;79.90;14.10;112.00;4.30;9.70;958.00;1013.80;1015.20;-;-;-;-;-;-;-;-
PSI;202506051750;17.60;0.00;0.00;55.00;89.20;15.80;-;-;-;975.00;1013.90;1014.70;-;-;309.00;2.20;3.60;18.70;68.20;-
ZER;202506051750;13.00;0.00;0.00;69.00;59.80;5.40;30.00;4.30;8.30;836.40;-;1019.40;1503.80;-;-;-;-;-;-;-
REH;202506051750;18.10;0.00;0.00;98.00;76.00;13.80;161.00;5.40;8.60;962.60;1013.60;1015.00;-;-;-;-;-;-;-;-
SMA;202506051750;17.20;0.00;3.00;129.00;80.70;13.90;202.00;4.00;6.50;950.10;1013.80;1015.40;-;-;-;-;-;15.90;81.00;12.70
KLO;202506051750;18.80;0.00;0.00;102.00;74.50;14.20;178.00;9.00;13.00;964.50;1013.50;1014.90;-;-;-;-;-;-;-;-
PFA;202506051750;18.40;0.00;8.00;162.00;76.80;14.30;218.00;5.40;8.30;952.20;1013.40;1015.30;-;-;-;-;-;-;-;-
